video,avg_step_length,avg_stride_length,avg_walking_speed,avg_acceleration,variance_step_length
1.mp4,437.2317305221896,874.4634610443792,13116.95191566569,3591.9138564997606,200591.46001581935
11.mp4,473.38942650965265,946.7788530193053,14201.682795289582,9.778961061315997,233761.0398578511
12.mp4,445.96716243808123,891.9343248761625,13379.014873142436,104.50427035932931,191248.91077381402
13.mp4,278.13909623455254,556.2781924691051,8344.172887036575,365.08469807527786,145265.2854434765
14.mp4,488.7717756828147,977.5435513656294,14663.153270484443,-10078.321011421816,261127.70979287944
2.mp4,308.68418370994056,617.3683674198811,9260.525511298218,115.33190055876689,109523.0587910727
3.mp4,441.4727763706434,882.9455527412867,13244.1832911193,792.9800953340825,147955.67434128994
4.mp4,599.9804204109497,1199.9608408218994,17999.41261232849,2282.2625320400557,183305.27761324012
5.mp4,410.0248484379969,820.0496968759938,12300.745453139907,195.4613845662853,191224.9280701773
6.mp4,434.6186273073183,869.2372546146366,13038.55881921955,6480.772506640988,210341.50466674456
7.mp4,457.75575009079614,915.5115001815923,13732.672502723884,4647.546727756135,263409.1351026591
9.mp4,501.82662513526526,1003.6532502705305,15054.79875405796,-1027.937445538296,253193.4487342818
